"Zeitstempel","Geschlecht","Wie alt sind Sie?","Bitte wählen Sie Ihre höchste abgeschlossene Ausbildung","In welcher Branche sind Sie tätig?","Wo wohnen Sie?","Was beschreibt Ihre Ernährung am besten?","Essen Sie Leberkäse (auch vegetarisch/vegan)?","Wie oft essen Sie Leberkäse?","Was ist Ihre Lieblingssorte?","Wie spontan entscheiden Sie sich, Leberkäse zu kaufen?","Warum essen Sie keinen Leberkäse?","Essen Sie gerne Essen mit spürbarer Schärfe?","Wie scharf essen Sie normalerweise?","Mögen Sie Essen aus den folgenden kulinarischen Regionen?","Wie oft im Jahr kaufen Sie online Kleidung? (für sich selbst)","Ist es schon einmal vorgekommen, dass Ihnen die Größe eines Artikels (Kleidung) bei einer Bestellung nicht gepasst hat?","In wie vielen Größen bestellen Sie den selben Artikel (um garantiert eine passende Größe zu erhalten)?","Wie viele Artikel kaufen Sie circa in einem Jahr?","Wie viele Artikel werden von Ihnen circa zurückgesendet?","An wie vielen Tagen in der Woche verwenden Sie öffentliche Verkehrsmittel?","Welche öffentliche(n) Verkehrsmittel verwenden Sie?","Wofür verwenden Sie öffentliche Verkehrsmittel?","Welche Aspekte könnte man verbessern, damit Sie öfter öffentliche Verkehrsmittel verwenden?","Zahlen Sie persönlich Fixkosten für das Wohnen? (Miete/Kredit)"," Sie können Ihre Grundbedürfnisse...","Haben Sie seit den Teuerungen Ihr Kaufverhalten verändert?","Wie sieht Ihre Wohnsituation aus?","Gehen Sie seit der Teuerung weniger oft essen?","Kaufen Sie seit der Teuerung weniger Luxusartikel? Denken Sie hier an Güter, die Sie nicht benötigen, um Ihre Grundbedürfnisse zu decken, wie z.B. Kleidung, Accessoires, elektronische Geräte, … ","Teil 1: Wie ist Ihre politische Einstellung?","Teil 2: Wie ist Ihre politische Einstellung?"
"2023/03/29 3:14:14 PM OEZ","Weiblich","20 - 29","Masterstudium","Dienstleistungen für Unternehmen","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","3","7 Tage","Zug;Straßenbahn;U-Bahn","Beides","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Ja","Miete","Ja","Ja","2","1"
"2023/03/29 3:47:28 PM OEZ","Weiblich","40 - 49","Matura/Abitur","Baugewerbe","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse","oft spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in mehreren Größen","10","5","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...decken.","Ja","","Ja","Ja","2","3"
"2023/03/29 3:52:21 PM OEZ","Weiblich","30 - 39","Weiterführende Schule ohne Matura","Gesundheitspflege","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse & Pikant","oft spontan","","Ja","3","Österreichisch","circa alle zwei Monate","Ja","in einer Größe","7","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken und Geld ansparen.","Ja","Eigentum","Ja","Nein","3","3"
"2023/03/29 4:46:50 PM OEZ","Männlich","20 - 29","Bachelorstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse & Pikant","oft spontan","","Ja","4","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","2","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Nein","...decken und Geld ansparen.","Nein","","","","4","5"
"2023/03/29 6:09:04 PM OEZ","Weiblich","20 - 29","Pflichtschule","Sonstige","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse","oft spontan","","Nein","","Italienisch;Österreichisch;Chinesisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","10","5","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Ja","Miete","Ja","Ja","3","3"
"2023/03/29 6:22:20 PM OEZ","Männlich","10 - 19","Lehre","Einzelhandel","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals pro Woche","Käse & Pikant","meistens spontan","","Ja","2","Österreichisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","7","2","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken und Geld ansparen.","Ja","","Ja","Ja","3","3"
"2023/03/29 6:34:02 PM OEZ","Männlich","40 - 49","Lehre","Baugewerbe","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal pro Woche","Käse","oft spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Thailändisch","zwei bis vier Mal im Jahr","Nein","in einer Größe","3","0","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken und Geld ansparen.","Ja","Eigentum","Ja","Ja","3","3"
"2023/03/29 7:48:46 PM OEZ","Männlich","20 - 29","Lehre","Baugewerbe","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","7","4","0 Tage","","","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Nein","Eigentum","","","2","3"
"2023/03/29 8:26:57 PM OEZ","Männlich","20 - 29","Matura/Abitur","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch","einmal im Jahr","Ja","in einer Größe","5","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Nein","...decken und Geld ansparen.","Nein","","","","3","3"
"2023/03/29 8:30:28 PM OEZ","Weiblich","40 - 49","Lehre","Einzelhandel","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","Ich esse Leberkäse aber keinen veganen","Nein","","Italienisch;Österreichisch;Chinesisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","3","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...decken und Geld ansparen.","Nein","","","","1","1"
"2023/03/29 8:40:22 PM OEZ","Weiblich","10 - 19","Matura/Abitur","Juristische Dienstleistungen","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","oft spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Thailändisch","circa einmal im Monat","Ja","in einer Größe","20","0","5 Tage","Zug","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Nein","...decken und Geld ansparen.","Ja","","Nein","Ja","3","3"
"2023/03/29 8:47:01 PM OEZ","Weiblich","20 - 29","Bachelorstudium","Gesundheitspflege","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Indisch","circa einmal im Monat","Ja","in einer Größe","50","25","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken und Geld ansparen.","Ja","","Nein","Ja","3","3"
"2023/03/29 9:40:56 PM OEZ","Männlich","30 - 39","Lehre","Öffentliche Verwaltung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Käse & Pikant","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch","circa alle zwei Monate","Ja","in einer Größe","15","3","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken und Geld ansparen.","Ja","Eigentum","Ja","Ja","4","3"
"2023/03/30 7:43:18 AM OEZ","Weiblich","20 - 29","Matura/Abitur","Gesundheitspflege","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","25","10","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken.","Ja","","Ja","Ja","3","3"
"2023/03/30 9:33:01 AM OEZ","Männlich","20 - 29","Matura/Abitur","Baugewerbe","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Käse","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","20","5","0 Tage","","","funktioniert bei mir leider nicht, da ich das Auto auch in der Arbeit benötige.","Ja","...decken und Geld ansparen.","Nein","Miete","","","2","2"
"2023/03/30 8:40:23 PM OEZ","Männlich","20 - 29","Bachelorstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal pro Woche","Käse & Pikant","meistens spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","2","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Nein","...decken und Geld ansparen.","Nein","","","","1","2"
"2023/03/30 10:49:49 PM OEZ","Männlich","30 - 39","Masterstudium","Software & IT-Services","Stadt","Pescetarier (kein Fleisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","einmal im Jahr","Ja","in einer Größe","2","0","4 Tage","Bus","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...);Keine masken, genauere Verspätungsanzeige, weniger Verspätung ","Ja","...decken und Geld ansparen.","Nein","Miete","","","3","2"
"2023/03/30 11:12:13 PM OEZ","Weiblich","40 - 49","Weiterführende Schule ohne Matura","Gesundheitspflege","Land","Vegetarisch (kein Fleisch und Fisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","2","Italienisch;Österreichisch","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken.","Ja","","Ja","Ja","4","2"
"2023/03/31 8:48:07 AM OEZ","Männlich","60 - 69","Pflichtschule","Sonstige","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal pro Woche","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Ja","2","Chinesisch","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken.","Nein","","","","1","1"
"2023/03/31 3:02:20 PM OEZ","Weiblich","40 - 49","Diplomstudium","Ausbildung","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal pro Woche","Käse & Pikant","meistens spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Indisch;Thailändisch","circa alle zwei Monate","Ja","in mehreren Größen","10","3","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken und Geld ansparen.","Nein","Eigentum","","","2","2"
"2023/03/31 3:03:23 PM OEZ","Weiblich","20 - 29","Bachelorstudium","Sonstige","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","schmeckt Ihnen nicht","Nein","","Italienisch;Österreichisch;Chinesisch;Thailändisch","circa alle zwei Monate","Ja","in mehreren Größen","30","10","0 Tage","","","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Ja","Miete","Ja","Ja","2","2"
"2023/03/31 3:03:43 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Ausbildung","Land","Vegetarisch (kein Fleisch und Fisch)","Ja","weniger als einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch","einmal im Jahr","Ja","in mehreren Größen","15","10","3 Tage","Bus;Zug;Straßenbahn","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Ja","Miete","Ja","Ja","2","3"
"2023/03/31 3:04:07 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Ausbildung","Stadt","Vegetarisch (kein Fleisch und Fisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","gar nicht","","","","","7 Tage","Bus;Zug;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Ja","WG oder Studentenheim","Ja","Ja","1","1"
"2023/03/31 3:04:41 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Sonstige","Land","Vegetarisch (kein Fleisch und Fisch)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","10","5 Tage","Bus;Zug","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...decken.","Nein","","","","3","3"
"2023/03/31 3:04:55 PM OEZ","Männlich","20 - 29","Bachelorstudium","Nonprofit","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse & Pikant","oft spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch","gar nicht","","","","","5 Tage","Bus;Zug;Straßenbahn","Beides","Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken und Geld ansparen.","Nein","Miete","","","2","2"
"2023/03/31 3:05:21 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Ausbildung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse & Pikant","meistens spontan","","Ja","2","Italienisch;Österreichisch;Indisch;Thailändisch","gar nicht","","","","","5 Tage","Bus;Zug;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...decken.","Ja","","Ja","Ja","4","2"
"2023/03/31 3:05:25 PM OEZ","Weiblich","20 - 29","Diplomstudium","Nonprofit","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","10","0","5 Tage","Bus;Zug;Straßenbahn;U-Bahn","Beides","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken.","Nein","Miete","","","3","2"
"2023/03/31 3:08:16 PM OEZ","Männlich","20 - 29","Matura/Abitur","Öffentliche Verwaltung","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Käse","oft spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","12","0","1 Tag","Bus;Straßenbahn","Freizeit","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken und Geld ansparen.","Ja","WG oder Studentenheim","Ja","Ja","2","3"
"2023/03/31 3:09:07 PM OEZ","Männlich","20 - 29","Matura/Abitur","Ausbildung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse & Pikant","oft geplant","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","einmal im Jahr","Ja","in einer Größe","15","5","5 Tage","Bus;Zug;Straßenbahn","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Gesundheit (z.B.: FFP2 Maskenpflicht, bessere Hygiene,...)","Ja","...decken.","Ja","WG oder Studentenheim","Ja","Nein","3","3"
"2023/03/31 3:10:28 PM OEZ","Männlich","30 - 39","Masterstudium","Gesundheitspflege","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Pikant","meistens spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Thailändisch;Burger und Co","zwei bis vier Mal im Jahr","Ja","in einer Größe","4","1","1 Tag","Bus;Zug;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Gesundheit (z.B.: FFP2 Maskenpflicht, bessere Hygiene,...)","Ja","...decken und Geld ansparen.","Ja","Miete","Nein","Ja","1","1"
"2023/03/31 3:12:57 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Öffentliche Verwaltung","Land","Pescetarier (kein Fleisch)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","mehrmals im Monat","Ja","in einer Größe","100","25","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Gesundheit (z.B.: FFP2 Maskenpflicht, bessere Hygiene,...)","Ja","...decken und Geld ansparen.","Nein","Miete","","","3","3"
"2023/03/31 3:13:31 PM OEZ","Männlich","20 - 29","Matura/Abitur","Sonstige","Land","Pescetarier (kein Fleisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","20","5","3 Tage","Zug;Straßenbahn","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken und Geld ansparen.","Nein","Miete","","","2","3"
"2023/03/31 3:14:55 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Ausbildung","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","Schwer Halal zu finden","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in mehreren Größen","5","10","7 Tage","Bus;Zug;Straßenbahn;U-Bahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...nur schwer decken.","Ja","","Ja","Ja","4","2"
"2023/03/31 3:15:04 PM OEZ","Sonstiges","20 - 29","Matura/Abitur","Sonstige","Stadt","Vegetarisch (kein Fleisch und Fisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Thailändisch;spanisch","circa einmal im Monat","Ja","in einer Größe","40","4","5 Tage","Bus;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...nur schwer decken.","Ja","Miete","Ja","Ja","1","1"
"2023/03/31 3:17:34 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Sonstige","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in mehreren Größen","20","3","4 Tage","Bus;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Gesundheit (z.B.: FFP2 Maskenpflicht, bessere Hygiene,...)","Ja","...nur schwer decken.","Ja","Miete","Ja","Ja","1","1"
"2023/03/31 3:18:04 PM OEZ","Männlich","30 - 39","Bachelorstudium","Öffentliche Verwaltung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch","gar nicht","","","","","3 Tage","Bus;Zug","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken und Geld ansparen.","Nein","Miete","","","3","3"
"2023/03/31 3:21:46 PM OEZ","Weiblich","30 - 39","Matura/Abitur","Nonprofit","Stadt","Pescetarier (kein Fleisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Nein","","Italienisch;Österreichisch","circa alle zwei Monate","Ja","in einer Größe","20","5","7 Tage","Zug;Straßenbahn","Arbeit/Ausbildung","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Ja","Eigentum","Ja","Ja","2","2"
"2023/03/31 3:21:46 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Ausbildung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","circa alle zwei Monate","Ja","in einer Größe","25","40","3 Tage","Bus;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken.","Nein","WG oder Studentenheim","","","3","3"
"2023/03/31 3:22:25 PM OEZ","Weiblich","20 - 29","Bachelorstudium","Geisteswissenschaften","Stadt","Vegetarisch (kein Fleisch und Fisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in mehreren Größen","20","15","4 Tage","Bus;Zug;Straßenbahn;U-Bahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken.","Ja","WG oder Studentenheim","Ja","Ja","1","2"
"2023/03/31 3:34:15 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Energie & Bergbau","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse","meistens spontan","","Ja","1","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","circa einmal im Monat","Ja","in mehreren Größen","20","12","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken und Geld ansparen.","Ja","Miete","Ja","Ja","3","3"
"2023/03/31 3:34:26 PM OEZ","Weiblich","20 - 29","Bachelorstudium","Sonstige","Land","Vegetarisch (kein Fleisch und Fisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Nein","","Italienisch;Österreichisch;Thailändisch","einmal im Jahr","Ja","in einer Größe","2","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken und Geld ansparen.","Nein","","","","4","3"
"2023/03/31 3:36:08 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Finanzwesen","Land","Pescetarier (kein Fleisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;Griechisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","4","1","3 Tage","Bus;Zug","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...);höhere Frequenz bei Zügen (fährt nur 1x pro Stunde)","Nein","...decken und Geld ansparen.","Ja","","Ja","Ja","3","3"
"2023/03/31 3:42:13 PM OEZ","Weiblich","40 - 49","Diplomstudium","Ausbildung","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","schmeckt Ihnen nicht","Nein","","Italienisch","einmal im Jahr","Ja","in einer Größe","4","1","7 Tage","Bus;Zug;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken.","Ja","Miete","Ja","Ja","3","3"
"2023/03/31 3:46:59 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Finanzwesen","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;Esse eigentlich fast alles","zwei bis vier Mal im Jahr","Ja","in einer Größe","20","60","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...decken und Geld ansparen.","Ja","","Nein","Ja","3","3"
"2023/03/31 3:56:28 PM OEZ","Weiblich","20 - 29","Masterstudium","Sonstige","Land","Vegetarisch (kein Fleisch und Fisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Nein","","Italienisch;Österreichisch","gar nicht","","","","","0 Tage","","","Erreichbarkeit ","Nein","...decken und Geld ansparen.","Nein","","","","5","4"
"2023/03/31 3:56:29 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Sonstige","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","schmeckt Ihnen nicht","Ja","3","Italienisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","einmal im Jahr","Ja","in einer Größe","3","2","7 Tage","Bus;Zug;Straßenbahn;U-Bahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken und Geld ansparen.","Nein","Miete","","","1","1"
